,H1,H2,H3,H4,Date_time
0,70.8,71.6,67.6,55.4,2019-08-04 10:02:58
1,70.8,71.6,67.6,55.4,2019-08-04 10:02:58
2,70.8,71.6,67.6,55.4,2019-08-04 10:02:58
3,70.8,71.6,67.6,55.4,2019-08-04 10:02:58
4,69.7,69.7,71.7,55.5,2019-08-04 10:17:58
5,69.7,69.7,71.7,55.5,2019-08-04 10:17:58
6,69.7,69.7,71.7,55.5,2019-08-04 10:17:58
7,69.7,69.7,71.7,55.5,2019-08-04 10:17:58
8,69.3,69.4,72.4,55.3,2019-08-04 10:32:58
9,69.3,69.4,72.4,55.3,2019-08-04 10:32:58
10,69.3,69.4,72.4,55.3,2019-08-04 10:32:58
11,69.3,69.4,72.4,55.3,2019-08-04 10:32:58
12,69.1,64.2,68.3,55.3,2019-08-04 10:47:58
13,69.1,64.2,68.3,55.3,2019-08-04 10:47:58
14,69.1,64.2,68.3,55.3,2019-08-04 10:47:58
15,69.1,64.2,68.3,55.3,2019-08-04 10:47:58
16,66.4,65.3,65.9,60.4,2019-08-05 08:47:56
17,66.4,65.3,65.9,60.4,2019-08-05 08:47:56
18,66.4,65.3,65.9,60.4,2019-08-05 08:47:56
19,66.4,65.3,65.9,60.4,2019-08-05 08:47:56
20,64.9,64.3,65.8,61.0,2019-08-05 09:02:56
21,64.9,64.3,65.8,61.0,2019-08-05 09:02:56
22,64.9,64.3,65.8,61.0,2019-08-05 09:02:56
23,64.9,64.3,65.8,61.0,2019-08-05 09:02:56
24,64.7,66.5,66.4,61.1,2019-08-05 09:17:56
25,64.7,66.5,66.4,61.1,2019-08-05 09:17:56
26,64.7,66.5,66.4,61.1,2019-08-05 09:17:56
27,64.7,66.5,66.4,61.1,2019-08-05 09:17:56
28,63.1,65.7,66.1,61.6,2019-08-05 09:32:56
29,63.1,65.7,66.1,61.6,2019-08-05 09:32:56
30,63.1,65.7,66.1,61.6,2019-08-05 09:32:56
31,63.1,65.7,66.1,61.6,2019-08-05 09:32:56
32,63.9,65.6,65.8,61.8,2019-08-05 09:47:56
33,63.9,65.6,65.8,61.8,2019-08-05 09:47:56
34,63.9,65.6,65.8,61.8,2019-08-05 09:47:56
35,63.9,65.6,65.8,61.8,2019-08-05 09:47:56
36,64.3,65.3,66.0,62.1,2019-08-05 10:02:56
37,64.3,65.3,66.0,62.1,2019-08-05 10:02:56
38,64.3,65.3,66.0,62.1,2019-08-05 10:02:56
39,64.3,65.3,66.0,62.1,2019-08-05 10:02:56
40,64.0,65.4,65.4,61.8,2019-08-05 10:17:56
41,64.0,65.4,65.4,61.8,2019-08-05 10:17:56
42,64.0,65.4,65.4,61.8,2019-08-05 10:17:56
43,64.0,65.4,65.4,61.8,2019-08-05 10:17:56
44,63.6,64.5,64.8,61.6,2019-08-05 10:32:57
45,63.6,64.5,64.8,61.6,2019-08-05 10:32:57
46,63.6,64.5,64.8,61.6,2019-08-05 10:32:57
47,63.6,64.5,64.8,61.6,2019-08-05 10:32:57
48,63.2,64.0,64.1,61.5,2019-08-05 10:47:57
49,63.2,64.0,64.1,61.5,2019-08-05 10:47:57
50,63.2,64.0,64.1,61.5,2019-08-05 10:47:57
51,63.2,64.0,64.1,61.5,2019-08-05 10:47:57
52,63.1,63.4,63.2,61.3,2019-08-05 11:02:57
53,63.1,63.4,63.2,61.3,2019-08-05 11:02:57
54,63.1,63.4,63.2,61.3,2019-08-05 11:02:57
55,63.1,63.4,63.2,61.3,2019-08-05 11:02:57
56,63.0,63.6,63.3,61.2,2019-08-05 11:17:57
57,63.0,63.6,63.3,61.2,2019-08-05 11:17:57
58,63.0,63.6,63.3,61.2,2019-08-05 11:17:57
59,63.0,63.6,63.3,61.2,2019-08-05 11:17:57
60,62.7,63.4,63.3,61.2,2019-08-05 11:32:57
61,62.7,63.4,63.3,61.2,2019-08-05 11:32:57
62,62.7,63.4,63.3,61.2,2019-08-05 11:32:57
63,62.7,63.4,63.3,61.2,2019-08-05 11:32:57
64,62.7,63.3,63.2,61.2,2019-08-05 11:47:57
65,62.7,63.3,63.2,61.2,2019-08-05 11:47:57
66,62.7,63.3,63.2,61.2,2019-08-05 11:47:57
67,62.7,63.3,63.2,61.2,2019-08-05 11:47:57
68,62.5,64.4,64.1,61.8,2019-08-05 12:02:57
69,62.5,64.4,64.1,61.8,2019-08-05 12:02:57
70,62.5,64.4,64.1,61.8,2019-08-05 12:02:57
71,62.5,64.4,64.1,61.8,2019-08-05 12:02:57
72,62.6,64.8,65.2,62.1,2019-08-05 12:17:57
73,62.6,64.8,65.2,62.1,2019-08-05 12:17:57
74,62.6,64.8,65.2,62.1,2019-08-05 12:17:57
75,62.6,64.8,65.2,62.1,2019-08-05 12:17:57
76,62.6,65.1,65.4,62.2,2019-08-05 12:32:57
77,62.6,65.1,65.4,62.2,2019-08-05 12:32:57
78,62.6,65.1,65.4,62.2,2019-08-05 12:32:57
79,62.6,65.1,65.4,62.2,2019-08-05 12:32:57
80,63.0,64.7,65.9,62.2,2019-08-05 12:47:57
81,63.0,64.7,65.9,62.2,2019-08-05 12:47:57
82,63.0,64.7,65.9,62.2,2019-08-05 12:47:57
83,63.0,64.7,65.9,62.2,2019-08-05 12:47:57
84,63.1,64.2,66.6,62.5,2019-08-05 13:02:58
85,63.1,64.2,66.6,62.5,2019-08-05 13:02:58
86,63.1,64.2,66.6,62.5,2019-08-05 13:02:58
87,63.1,64.2,66.6,62.5,2019-08-05 13:02:58
88,63.2,64.6,67.6,62.8,2019-08-05 13:17:58
89,63.2,64.6,67.6,62.8,2019-08-05 13:17:58
90,63.2,64.6,67.6,62.8,2019-08-05 13:17:58
91,63.2,64.6,67.6,62.8,2019-08-05 13:17:58
92,63.4,65.1,67.0,63.3,2019-08-05 13:32:58
93,63.4,65.1,67.0,63.3,2019-08-05 13:32:58
94,63.4,65.1,67.0,63.3,2019-08-05 13:32:58
95,63.4,65.1,67.0,63.3,2019-08-05 13:32:58
96,63.4,65.0,66.2,62.9,2019-08-05 13:47:58
97,63.4,65.0,66.2,62.9,2019-08-05 13:47:58
98,63.4,65.0,66.2,62.9,2019-08-05 13:47:58
99,63.4,65.0,66.2,62.9,2019-08-05 13:47:58
100,63.4,65.0,65.8,62.8,2019-08-05 14:02:58
101,63.4,65.0,65.8,62.8,2019-08-05 14:02:58
102,63.4,65.0,65.8,62.8,2019-08-05 14:02:58
103,63.4,65.0,65.8,62.8,2019-08-05 14:02:58
104,63.4,64.7,65.8,62.8,2019-08-05 14:17:58
105,63.4,64.7,65.8,62.8,2019-08-05 14:17:58
106,63.4,64.7,65.8,62.8,2019-08-05 14:17:58
107,63.4,64.7,65.8,62.8,2019-08-05 14:17:58
108,63.3,64.4,65.7,62.9,2019-08-05 14:32:58
109,63.3,64.4,65.7,62.9,2019-08-05 14:32:58
110,63.3,64.4,65.7,62.9,2019-08-05 14:32:58
111,63.3,64.4,65.7,62.9,2019-08-05 14:32:58
112,63.5,65.1,67.0,63.1,2019-08-05 14:47:58
113,63.5,65.1,67.0,63.1,2019-08-05 14:47:58
114,63.5,65.1,67.0,63.1,2019-08-05 14:47:58
